,Unnamed: 0,model,year,target,predictor,values
123,491165,etr,2020,wdi2-TX.VAL.MRCH.HI.ZS,wdi2-TM.VAL.MRCH.R1.ZS,0.0287915329226006
124,491143,etr,2020,wdi2-TX.VAL.MRCH.HI.ZS,wdi2-SE.PRM.DURS,0.0285761626558746
125,491030,etr,2020,wdi2-TX.VAL.MRCH.HI.ZS,key-wdi-DT.ODA.ODAT.PC.ZS,0.0267044894246249
126,491088,etr,2020,wdi2-TX.VAL.MRCH.HI.ZS,wdi-DT.ODA.ODAT.PC.ZS,0.0240642128910007
127,491149,etr,2020,wdi2-TX.VAL.MRCH.HI.ZS,wdi2-SP.DYN.CDRT.IN,0.0221327975724747
128,491171,etr,2020,wdi2-TX.VAL.MRCH.HI.ZS,wdi2-TX.VAL.INSF.ZS.WT,0.0199946259244148
129,491141,etr,2020,wdi2-TX.VAL.MRCH.HI.ZS,wdi2-PA.NUS.FCRF,0.0168604236756757
130,490929,etr,2020,wdi2-TX.VAL.MMTL.ZS.UN,wdi-DC.DAC.DEUL.CD,0.0825092339316028
131,490930,etr,2020,wdi2-TX.VAL.MMTL.ZS.UN,wdi-DC.DAC.GBRL.CD,0.0821632711440959
132,491004,etr,2020,wdi2-TX.VAL.MMTL.ZS.UN,wdi2-SP.RUR.TOTL,0.0767416730345545
133,490994,etr,2020,wdi2-TX.VAL.MMTL.ZS.UN,wdi2-SE.PRM.ENRR,0.0639753661870854
134,490914,etr,2020,wdi2-TX.VAL.MMTL.ZS.UN,wdi-BN.TRF.CURR.CD,0.0548282953284545
135,490964,etr,2020,wdi2-TX.VAL.MMTL.ZS.UN,wdi2-NY.ADJ.DKAP.GN.ZS,0.0546248582447465
136,490977,etr,2020,wdi2-TX.VAL.MMTL.ZS.UN,wdi2-NY.GDP.MKTP.KN,0.0522548558112383
137,491001,etr,2020,wdi2-TX.VAL.MMTL.ZS.UN,wdi2-SP.DYN.LE00.MA.IN,0.0367235978495919
138,490950,etr,2020,wdi2-TX.VAL.MMTL.ZS.UN,wdi-EN.ATM.METH.KT.CE,0.0321873603274171
139,490949,etr,2020,wdi2-TX.VAL.MMTL.ZS.UN,wdi-EN.ATM.METH.EG.KT.CE,0.0258260094921388
140,490809,etr,2020,wdi2-TX.VAL.MANF.ZS.UN,wdi-IT.MLT.MAIN.P2,0.2287278376353747
141,490846,etr,2020,wdi2-TX.VAL.MANF.ZS.UN,wdi2-SP.DYN.CBRT.IN,0.1988846361701039
142,490793,etr,2020,wdi2-TX.VAL.MANF.ZS.UN,wdi-EN.ATM.CO2E.SF.KT,0.0397830253070426
143,490735,etr,2020,wdi2-TX.VAL.MANF.ZS.UN,key-wdi2-NY.GDP.PCAP.CD,0.029601832701246
144,490804,etr,2020,wdi2-TX.VAL.MANF.ZS.UN,wdi-ER.FSH.CAPT.MT,0.0269015075429316
145,490820,etr,2020,wdi2-TX.VAL.MANF.ZS.UN,wdi2-NY.GDP.FRST.RT.ZS,0.0183494986933661
146,490829,etr,2020,wdi2-TX.VAL.MANF.ZS.UN,wdi2-NY.GDP.PCAP.KD,0.0179869813723229
147,490872,etr,2020,wdi2-TX.VAL.MANF.ZS.UN,wdi2-TX.VAL.MRCH.RS.ZS,0.017528780931181
148,490805,etr,2020,wdi2-TX.VAL.MANF.ZS.UN,wdi-ER.FSH.PROD.MT,0.0167068349613319
