,feature indicator,feature importance,predicted indicator
20947,ssi-hwi,0.1035394192214956,ssi-5
20948,key-egov-egi,0.1291461654758029,ssi-5
20949,wdi2-NE.RSB.GNFS.CN,0.032291331505411,ssi-5
20950,wdi2-NE.GDI.STKB.CN,0.0546780885974234,ssi-pdh
20951,unicef-wash2,0.064100628801899,ssi-pdh
20952,wdi-BX.TRF.PWKR.DT.GD.ZS,0.0734549450623535,ssi-pdh
20953,ssi-1,0.3239774529009798,ssi-pdh
20954,wdi-HD.HCI.OVRL.LB.FE,0.1214646350489159,ssi-pdh
20955,wdi-IQ.SCI.MTHD,0.0776926249599923,ssi-pdh
20956,unicef-ch2,0.0757589777984033,ssi-pdh
20957,wdi-BN.GSR.GNFS.CD,0.0592992476178397,ssi-pdh
20958,ssi-enwi,0.0583204233046261,ssi-pdh
20959,ohi-index-future,0.0912529759075665,ssi-pdh
21770,unicef-m16,0.1913125015858237,ssi-20
21771,wdi2-NY.GDP.DISC.CN,0.0694344984615846,ssi-20
21772,wdi2-TM.VAL.TRVL.ZS.WT,0.1075376466572502,ssi-20
21773,unicef-d7,0.0980633242289147,ssi-20
21774,ohi-cw-pressures,0.0891353785535342,ssi-20
21775,ohi-eco-status,0.0522341860366983,ssi-20
21776,wdi2-SP.POP.0014.TO.ZS,0.0583216736878793,ssi-20
21777,ssi-wbs,0.105978910590674,ssi-20
21778,wdi2-NY.GDP.FCST.CD,0.1157838791633039,ssi-20
21779,wdi2-SP.POP.65UP.FE.ZS,0.1121980010343368,ssi-20
21820,ssi-enwi,0.2629092161348533,ssi-t
21821,wdi2-NE.DAB.DEFL.ZS,0.0521938488717598,ssi-t
21822,mvi-ldc-VIC-Index,0.1844230566263221,ssi-t
21823,ohi-fp-status,0.0440431299196922,ssi-t
21824,wdi-FP.CPI.TOTL,0.0667167300168746,ssi-t
21825,wdi2-NE.CON.PRVT.PP.KD,0.0863084130439749,ssi-t
21826,ohi-cs-resilience,0.0785365788600405,ssi-t
21827,ohi-bd-future,0.1145491733169338,ssi-t
21828,itu-mbb,0.0403567602269211,ssi-t
21829,unicef-mnh1,0.0699630929826274,ssi-t
22060,itu-mcb,0.2106492993989691,ssi-1
22061,wdi2-VC.IDP.NWCV,0.2465368598807336,ssi-1
22062,ohi-cw-trend,0.0785238149857635,ssi-1
22063,epi-MSW,0.0132826288150981,ssi-1
22064,wdi2-SP.URB.GROW,0.0389329876641211,ssi-1
22065,ohi-liv-pressures,0.1801665034352187,ssi-1
22066,wdi2-SP.POP.5559.FE.5Y,0.0461592219746942,ssi-1
22067,ohi-lsp-resilience,0.1059058682058009,ssi-1
22068,wdi-FR.INR.LEND,0.0242642923519624,ssi-1
22069,unicef-wash6,0.055578523287638,ssi-1
22470,unicef-ch6,0.0413933919042337,ssi-17
22471,wdi2-NE.GDI.TOTL.KD,0.1495548505936575,ssi-17
22472,unicef-d11,0.1878129556883305,ssi-17
22473,wdi2-SP.POP.65UP.TO.ZS,0.055793452257753,ssi-17
22474,wdi2-SP.POP.DPND.YG,0.1038404904838641,ssi-17
22475,unicef-m8,0.1170533201329698,ssi-17
22476,ohi-ao-future,0.067775280851668,ssi-17
22477,ssi-16,0.0290238239145971,ssi-17
22478,ohi-hab-resilience,0.062648982571227,ssi-17
22479,ohi-lsp-future,0.1851034516016989,ssi-17
